cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,category
7256,29.14,2294,9.21,82.0,88.49,Server
7245,56.17,2184,16.93,80.0,90.56,Server
7235,36.18,2234,11.17,84.0,86.13,Desktop
7229,5.93,1027,0.84,105.0,68.85,Server
7223,28.87,2434,9.73,71.0,101.73,Server
7218,8.74,2189,2.65,84.0,85.93,Server
7209,19.07,2140,5.66,45.0,160.19,Laptop
7208,16.01,1606,3.57,130.0,55.45,Server
7188,49.57,2218,15.3,65.0,110.58,Desktop
7181,35.35491103202847,1106,15.189008642602948,70.0,102.58,Server
7176,12.57,1104,1.93,35.0,205.03,Server
7175,14.76,1179,2.43,35.0,204.99,Server
7145,11.54,1966,3.18,45.0,158.78,Laptop
7145,35.35491103202847,2301,15.189008642602948,15.0,476.32,"Laptop, Mobile/Embedded"
7143,35.72,2213,11.06,95.0,75.19,Server
7137,4.76,1600,1.07,130.0,54.9,Desktop
7129,21.6,2165,6.56,84.0,84.87,Desktop
7118,10.26,718,1.03,45.0,158.18,Server
7102,35.35491103202847,1982,15.189008642602948,15.0,473.44,Laptop
7095,35.35491103202847,1547,15.189008642602948,115.0,61.7,Server
7093,35.35491103202847,2164,15.189008642602948,35.0,202.64,Desktop
7092,35.35491103202847,2033,15.189008642602948,45.0,157.6,Server
7080,35.35491103202847,2183,15.189008642602948,45.0,157.34,Server
7079,35.35491103202847,1683,15.189008642602948,62.37555732484076,121.6232388535032,Desktop
7074,35.93,2190,11.13,84.0,84.21,Desktop
7073,35.35491103202847,2118,15.189008642602948,65.0,108.82,Laptop
7071,35.35491103202847,2189,15.189008642602948,35.0,202.04,Laptop
7070,88.39,2150,26.88,80.0,88.38,Server
7065,108.91,2161,33.31,80.0,88.32,Server
7062,17.27,2362,5.78,15.0,470.77,Laptop
7060,10.09,2286,3.27,57.0,123.86,Laptop
7045,35.35491103202847,1930,15.189008642602948,10.0,704.48,Laptop
7037,35.35491103202847,2216,15.189008642602948,65.0,108.26,Desktop
7036,16.17,2119,4.87,47.0,149.7,Laptop
7030,39.34,2166,12.12,84.0,83.69,Desktop
7018,43.81,1558,9.73,130.0,53.99,Desktop
7012,116.89,1233,20.55,95.0,73.81,Server
7008,23.44,2142,7.16,84.0,83.43,Server
7002,35.35491103202847,2308,15.189008642602948,65.0,107.72,Desktop
6998,14.03,2152,4.31,80.0,87.48,Server
6991,87.98,2024,25.48,140.0,49.93,Server
6987,35.35491103202847,2220,15.189008642602948,84.0,83.18,Server
6986,95.96,1363,18.73,95.0,73.54,Server
6977,34.04,2537,12.37,71.0,98.27,Server
6968,35.35491103202847,1964,15.189008642602948,15.0,464.55,Laptop
6957,18.4,2070,5.48,45.0,154.59,Laptop
6954,35.35491103202847,2073,15.189008642602948,35.0,198.69,Server
6954,42.66,2198,13.49,65.0,106.98,Desktop
6939,35.35491103202847,1990,15.189008642602948,45.0,154.2,Laptop
6927,13.86,962,1.93,95.0,72.92,Server
6925,60.22,2096,18.23,65.0,106.54,Desktop
